noun,plural_noun,plural_animal,colorvalue,adjective,verb
blueberry,earthworms,ants,white,dead,surround
airpod,aircrafts,bats,blue,hairless,stab
idiot,alumnae,bears,periwinkle,sassy,return
toaster,alumni,bees,black,seductive,medicate
legend,analyses,birds,purple,flirty,blindside
pimple,antennae,buffalo,red,stressed,boogie
therapy,antitheses,cats,crimson,abnormal,flap
goal,Brikenstocks,chickens,gray,medicated,trip
heartworm,herpes,cattle,grayish-blue,cocky,swat
psychic,Brikenstocks,dogs,purpley,massive,swat
knife,Brikenstocks,dolphins,NYUAD-purple,pretty,harass
sandwich,bacteria,ducks,NYUAD-purple,pretty,trap
American,bases,elephants,NYUAD-purple,frenzied,snoop
lettuce,crocs,fishes,NYUAD-purple,annoying,explode
kitty,bison,foxes,NYUAD-purple,hilarious,sketch
chef,crocs,frogs,NYUAD-purple,hot,scatter
grandma,cacti,geese,orange,tactful,challenge
antidepressant,children,goats,yellow,bearded,fight
cake,children,horses,yellow-orangle,duck-like,bury
American,pimples,kangaroos,mucus-colored,pretty,splatter
eye,Brikenstocks,lions,pus-colored,slimy,smack
parasite,falcons,monkeys,skin-colored,creepy,peddle
brethren,crises,owls,iridescent,lit,balance
eyeball,bacteria,oxen,eggshell-white,memey,kobe
tank,airpods,penguins,pearly-white,talking,boggle
popcorn,haters,people,ocean-blue,naked,poke
American,deer,pigs,space-gray,angry,critique
puppy,Brikenstocks,rabbits,periwinkle,shaky,fear
trombone,dice,sheep,teal,screeming,initiate
earthworm,dwarves,tigers,cyan,sick,eat
booger,ellipses,whales,grape-colored,zippy,smell
speaker,horns,wolves,hazel,sticky,schedule
airpod,crocs,zebras,umber,fluffy,cook
eyelash,headphones,ants,water-colored,pretty,imprison
telephone,OFFwhites,bats,transparent,haram,tickle
swine,toes,bears,neon-green,tactful,hit
tongue,hippo,bees,neon-pink,filthy,wheedle
toe,nerds,birds,neon-yellow,fighting,eat
textbook,fungi,buffalo,neon-blue,bonkers,sweet-talk
pistol,Birkenstocks,cats,neon-black,harsh,sweet-talk
toe,geese,chickens,dark-white,frisky,prevail
earthworm,graffiti,cattle,neon-black,greedy,drink
patella,memes,dogs,dark-white,crawly,shred
wenis,airpods,dolphins,neon-black,insane,dispute
finger,pimples,ducks,dark-white,ungodly,echo
kitten,hypotheses,elephants,neon-black,halal,mimic
cat,sofas,fishes,dark-white,drunken,dance
puppy,Americans,foxes,NYUAD-purple,idiotic,split
Filipino,cacti,frogs,NYUAD-purple,twisted,party
American,loaves,geese,NYUAD-purple,useless,taunt
fish,airpods,goats,NYUAD-purple,yapping,splatter
bee,Russians,horses,NYUAD-purple,magical,smack
lazer,men,kangaroos,NYUAD-purple,indecent,peddle
American,milkshakes,lions,water-colored,insane,balance
dingleberry,laptops,monkeys,transparent,arrogant,sneeze
heartworm,paints,owls,indigo,confused,boggle
molecule,babies,oxen,water-colored,flirting,poke
bee,men,penguins,transparent,yapping,stab
lazer,milkshakes,people,indigo,magical,eat
uzi,laptops,pigs,NYUAD-purple,indecent,smell
dingleberry,children,rabbits,NYUAD-purple,insane,smell
heartworm,minutiae,sheep,NYUAD-purple,arrogant,sneeze
molecule,,tigers,NYUAD-purple,confused,schedule
,,whales,water-colored,flirting,
,,wolves,transparent,,
,,zebras,indigo,,
,,,water-colored,,
,,,transparent,,
,,,indigo,,